If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
The gig economy as a driver of innovation,Introducing JQL: A Query Language for Analytics,Skill swarms - a new way to share expertise and work smarter together - Skillhive,How to approach machine learning as a non-technical person,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,"Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow"
The best-and worst-places to be a working woman,Inception (2010),"""We only hire the best"" - Signal v. Noise",Shutter Island (2010),"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",A importância dos filmes de mulherzinha - Capitolina
Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more",Plug the Fathom Neural Compute Stick into any USB device to make it smarter,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
Why Introverts Are Better at Sales Than Extroverts,You can now use MyCokeRewards with Apple Pay (and score a free Coke),CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution,Unilever: The biggest digital start-up in the world?,You won't recognize the new world of digital payments without this report,"Razorfish, US digital revenues, drag down Publicis"
Inteligência artificial da IBM criou 'trailer perfeito' para filme,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Put a ring on it: three smart rings with plenty of beauty and brains,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Burger King aceita pedidos via mensagens no Facebook - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
Bad Writing Is Destroying Your Company's Productivity,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,Building a high-throughput data science machine,Graph-powered Machine Learning at Google
Mobile banking conquista o coração dos brasileiros,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Blockchain Will Be Used By 15% of Big Banks By 2017,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Say goodbye to traditional customer segmentation "" Banking Technology"
Nintendo has doubled in value since Pokémon Go's release,Automation and anxiety,The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Don't Waste Your Time on Networking Events
How Mature is Your Organization when it Comes to UX?,35 Innovative and Inspirational Website Designs in Banking,O tênue equilíbrio da equipe que desenha produtos digitais,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Chatbots: Are they better without the chat?,#FinTech is all about human-centred design - Chris Skinner's blog
big data = real time,The omnichannel customer experience is poised to take off in regulated industries,The future is the trust economy,Onde a tecnologia e o cuidado se encontram? - Saúde Business,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift
Hacked Website Report - 2016/Q3,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,6 New Tech Gadgets That Will Simplify Your Life in 2017,3M e o perfil intraempreendedor | Endeavor Brasil,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados
How AWS came to be,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Walmart compra startup para brigar com Amazon | EXAME.com,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,7 Questions to Ask Before Your Next Digital Transformation
Containers are not VMs,"Open Source Won. So, Now What?",Dries Buytaert: Advancing Drupal's web services,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"There will be a Drupal 9, and here is why"
Cross-channel user experiences with Drupal (awesome video demo!),GE Digital snags ServiceMax for $915 million,Microsoft is taking its cues from Facebook as it totally shakes up Office,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",Now we know how profitable Microsoft's cloud business is -and investors should be happy,You won't recognize the new world of digital payments without this report
"Bots, Messenger and the future of customer service","Google I/O: Expect A.I., virtual reality",What the Google I/O schedule tells us about the future of Android,Uma recepção eficiente,Enable secure mode on your web product | Intercom Docs,Why Steve Jobs Was Proud to Steal Ideas
3Dprintler lets you order a 3D print via chatbot,"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",Conversational Banking; from branches to bots. - Chatbots Magazine,"Chatbots Are Your Newest, Dumbest Co-Workers","Amazon looking to buy Capital One? "" Banking Technology",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
Aussie Uses Arduino Chips To Roboticize a Ford Focus,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Vídeos de testes unitários em sistemas embarcados - Embarcados,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017
GitHub on BigQuery: Analyze all the open source code,An Overly Thorough Guide To Underused Android Libraries,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,Achievement Unlocked : AWS Certified Solutions Architect Professional,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Why 2016 is shaping up to be the Year of the Bot
Vision API - Image Content Analysis,"How to Build and Publish ES6 Modules Today, with Babel and Rollup","Apple launches Safari Technology Preview, a browser for developers including experimental web features",Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Modelando APIs REST com Swagger,Comparing React.js to Vue.js for dynamic tabular data
Setting and Calculating a Web Performance Budget,IBM Watson e a revolução pela inteligência artificial | Udacity,Intel's internal IoT platform for real-time enterprise analytics,Novidades do CDI 2.0,3M e o perfil intraempreendedor | Endeavor Brasil,Effective learning through code workshops | Box Blog
Dicas para aumentar produtividade: 14 dicas incríveis.,How Green Was My Valley (1941),Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,To bot or not to bot
How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,State of Drupal 2016 survey | Dries Buytaert,Coder | Drupal.org,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Omnitone: Spatial audio on the web
O machismo também mora nos detalhes - Think Olga,Black Mirror (TV Series 2011- ),Sete Reinos,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,The 'impossible' is now a reality,What exactly is a design culture? 
Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Kickstarter 3D printer will print circuit boards as part of your designs
"Elopar lança o ""Digio"", cartão para brigar com Nubank",Google e GFT firmam parceria para testes com foco em blockchain - Startupi,American Express ... and the Book of Mormon - Chris Skinner's blog,Visa lança desafio para startups de tecnologia - Startupi,"Simple rolls out shared bank accounts that work for anyone, including roommates",Bradesco vai lançar novo banco digital: o Next.
What Millennials Want from a New Job,"Three cultures, three continents and three lessons on leadership",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,O que você deve fazer para se tornar um líder melhor?,4 lessons we can learn from Denmark about happiness at work,Investimentos em coaching e mentoring aumentam nas empresas
Ray Kurzweil: The world isn't getting worse - our information is getting better,So you want to sell to banks?,Time to Re-Think Design Thinking,How to Get a Job at Google,Stop Trying to Sound Smart When You're Writing,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles
"curso de branding, diferenciação e estratégia de marca",Managing Machines at Spotify,The Pulse of a City - Uber Engineering Blog,Trooly is using machine learning to judge trustworthiness from digital footprints,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Conheça Cris Grether, a diretora Global de Design que liderou, em Atlanta, a reformulação das embalagens de Coca-Cola"
Linking the customer experience to value,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Walmart compra startup para brigar com Amazon | EXAME.com,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Carrefour começa a operar e-commerce no Brasil | EXAME.com
AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),Achievement Unlocked : AWS Certified Solutions Architect Professional
Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",What readers think about computer-generated texts
